disease_accession:ID(Disease),disease_id,disease_acronym,disease_description,disease_xref_db,disease_xref_id,association_source,:LABEL
SYN:the-paralyze-par-phenotype-a-spontaneous-mutant-strain,"the paralyze (par) phenotype, a spontaneous mutant strain",,"Defects in Afg3l2 are the cause of the paralyze (par) phenotype, a spontaneous mutant strain. Par mice have a normal appearance and fertility but are significantly smaller than their littermates at 1 week of age and display a rapidly progressive loss of motor function in all limbs by 12-14 days. As the disease progresses, they lose the ability to support their own weight or turn themselves over when placed on their back and exhibit a typical posture with over extension of all limbs and uncoordinated movements. They rarely survive beyond 16 days of age, when they are completely paralyzed",,,UniProt,Disease
SYN:allele-r187x-is-a-disease-susceptibility-variant-which-modifies-the-severity-of-,"Allele R187X is a disease susceptibility variant, which modifies the severity of the disease jolting mutant (medjo) caused by defects in Scn8a",,"Allele R187X is a disease susceptibility variant, which modifies the severity of the disease jolting mutant (medjo) caused by defects in Scn8a. It reduces the abundance of correctly spliced Scn8a transcripts below the threshold for survival thereby converting a chronic movement disorder into a lethal neurological disease",,,UniProt,Disease
SYN:the-claw-paw-clp-phenotype,the claw paw (clp) phenotype,,"Defects in Lgi4 are the cause of the claw paw (clp) phenotype. Mice are characterized by limb posture abnormalities and peripheral hypomyelination, with no sign of dysmyelination in the CNS",,,UniProt,Disease
SYN:the-spinner-mutant-strain-phenotype-sr,the spinner mutant strain phenotype (sr),,"Defects in Tmie are the cause of the spinner mutant strain phenotype (sr). This disorder results in hearing loss and vestibular dysfunction due to neuroepithelial defects in the inner ear. It is recognized by behavioral dysfunction, including bidirectional circling and head shaking. Auditory function in spinner mice is found to be reduced, based upon the lack of a startle reflex to sound at any age. Breeding experiments indicated that these defects are inherited in an autosomal recessive fashion. The postnatal defects present in the cochleae of sr/sr mice suggest a requirement for Tmie during maturation of sensory cells, including the normal development or maintenance of stereocilia bundles",,,UniProt,Disease
SYN:retinal-degeneration-6-rd6,retinal degeneration 6 (RD6),,Defects in Mfrp are the cause of retinal degeneration 6 (RD6). RD6 is an autosomal recessive degeneration of the photoreceptors causing dysfunction of both rods and cones,,,UniProt,Disease
SYN:a-form-of-oculocutaneous-albinism-known-as-the-chocolate-cht-phenotype,a form of oculocutaneous albinism known as the chocolate (cht) phenotype,,Defects in Rab38 are the cause of a form of oculocutaneous albinism known as the chocolate (cht) phenotype. Mice exhibit a brown coat similar in color to mice with a mutation in tyrosinase-related protein 1 (TYRP1). The targeting of TYRP1 protein to the melanosome is impaired in Rab38(cht)/Rab38(cht) melanocytes,,,UniProt,Disease
SYN:the-muted-mu-mutant-which-is-characterized-by-light-eyes-at-birth-hypopigmentati,"the Muted (mu) mutant, which is characterized by light eyes at birth, hypopigmentation of the coat, platelet storage pool deficiency and lysosomal hyposecretion",,"Defects in Muted are the cause of the Muted (mu) mutant, which is characterized by light eyes at birth, hypopigmentation of the coat, platelet storage pool deficiency and lysosomal hyposecretion",,,UniProt,Disease
SYN:the-moonlight-phenotype-mnlt,the moonlight phenotype (mnlt),,"Defects in Dock7 are responsible for the moonlight phenotype (mnlt). mnlt/mnlt mice display an overall lightened coat color and hypopigmentation of the belly and distal extremities, particularly the paws, tail tip, and genitalia",,,UniProt,Disease
SYN:recurrent-site-of-retroviral-integration-in-murine-b-cell-lymphomas,Recurrent site of retroviral integration in murine B-cell lymphomas,,Recurrent site of retroviral integration in murine B-cell lymphomas,,,UniProt,Disease
SYN:the-varitin-waddler-va-phenotype,the varitin-waddler (Va) phenotype,,"Defects in Mcoln3 are the cause of the varitin-waddler (Va) phenotype. Classical Va mice exhibit early-onset hearing loss, vestibular defects, pigmentation abnormalities and perinatal lethality. The phenotype varitin-waddler Jackcon (Va-J), which arose in a cross segregating for Va, is similar but less severe",,,UniProt,Disease
SYN:the-dominant-deaf-mutant-beethoven-bth,the dominant deaf mutant Beethoven (BTH),,"Defects in Tmc1 are the cause of the dominant deaf mutant Beethoven (BTH). Heterozygotes show progressive hair-cell degeneration from day 20 onwards, leading to severe depletion of inner hair cells and scattered loss of outer hair cells, and progressive loss of the Preyer reflex from around day 30. Homozygotes show almost complete degeneration of inner hair cells, and little or no Preyer reflex at any age",,,UniProt,Disease
SYN:recessive-deaf-mutant-dn,recessive deaf mutant dn,,"Defects in Tmc1 are the cause of recessive deaf mutant dn. The dn mutant shows profound deafness with degeneration of the organ of Corti, stria vascularis, and occasionally the saccular macula, starting at about 10 days after birth (PubMed:11850618)",,,UniProt,Disease
SYN:polycystic-kidney-disease,polycystic kidney disease,,Defects in Cys1 are a cause of polycystic kidney disease,,,UniProt,Disease
SYN:defects-in-gipc3-underlie-the-age-related-hearing-loss-5-ahl5-and-juvenile-audio,Defects in GIPC3 underlie the age-related hearing loss 5 (ahl5) and juvenile audiogenic monogenic seizure (jams1) phenotypes,,"Defects in GIPC3 underlie the age-related hearing loss 5 (ahl5) and juvenile audiogenic monogenic seizure (jams1) phenotypes. Ahl5 mice show irregular structure of the stereocilia bundle of outer and inner hair cells, late-onset degeneration of the organ of Corti. The spiral ganglion exhibits a severe loss of neurons",,,UniProt,Disease
SYN:the-cappuccino-cno-mutant-which-is-characterized-by-a-severe-oculocutaneous-albi,"the cappuccino (Cno) mutant, which is characterized by a severe oculocutaneous albinism due to abnormal melanosome formation, and prolonged bleeding due to deficiency of platelet dense body contents",,"Defects in Cno are the cause of the cappuccino (Cno) mutant, which is characterized by a severe oculocutaneous albinism due to abnormal melanosome formation, and prolonged bleeding due to deficiency of platelet dense body contents",,,UniProt,Disease
SYN:primary-ciliary-dyskinesia-pcd,primary ciliary dyskinesia (PCD),,"Defects in Dnah5 are the cause of primary ciliary dyskinesia (PCD). PCD is characterized by recurrent respiratory infections, situs inversus and ciliary immotility and hydrocephalus",,,UniProt,Disease
SYN:focal-retinal-dysplasia-and-degeneration-associated-with-a-shortening-of-inner-a,focal retinal dysplasia and degeneration associated with a shortening of inner and outer segments,,"Defects in Crb1 are a cause of focal retinal dysplasia and degeneration associated with a shortening of inner and outer segments. Affected mice produce a secreted truncated protein that lacks the single transmembrane and the intracellular domain, and develop irregularities at the outer limiting membrane and loss of photoreceptor cells",,,UniProt,Disease
SYN:digitation-anormale-dan-phenotype-this-mutation-is-the-consequence-of-a-retrovir,"digitation anormale (dan) phenotype, this mutation is the consequence of a retroviral insertion",,"Defects in Lrp4 are the cause of digitation anormale (dan) phenotype, this mutation is the consequence of a retroviral insertion. Dan mice shown growth retardation in 10-day-old mice dan/dan and polysyndactyly (PubMed:16517118). Defects in Lrp4 are the cause of malformed digits (mdig) phenotype. It is a spontaneous, autosomal recessive mutation resulting in polysyndactyly (PubMed:16517118)",,,UniProt,Disease
SYN:the-cocoa-coa-mutant-which-is-characterized-by-hypopigmentation-and-platelet-dys,"the cocoa (coa) mutant, which is characterized by hypopigmentation and platelet dysfunction (PubMed:11707070)",,"Defects in Hps3 are the cause of the cocoa (coa) mutant, which is characterized by hypopigmentation and platelet dysfunction (PubMed:11707070)",,,UniProt,Disease
SYN:wrinkle-free-wrfr-phenotype,wrinkle-free (wrfr) phenotype,,"Defects in Slc27a4 are the cause of wrinkle-free (wrfr) phenotype. It is a spontaneous, autosomal recessive mutation resulting in very tight, thick skin and is secondary characterized by severe breathing difficulties. Mice die shortly after birth. This phenotype is similar to human restrictive dermopathy, a very rare human genetic disorder",,,UniProt,Disease
SYN:chronic-proliferative-dermatitis-cpdm,chronic proliferative dermatitis (cpdm),,"Defects in Sharpin are the cause of chronic proliferative dermatitis (cpdm). Cpdm is a spontaneous mutation causing a chronic proliferative dermatitis phenotype, which is characterized histologically by severe inflammation, eosinophilic dermatitis and defects in secondary lymphoid organ development. Mice also display lower total and cortical bone mineral content and bone mineral density, trabecular and cortical bone volume, and trabecular number. TNF-induced NF-kappa-B activation is attenuated due to inability of the LUBAC complex to mediate linear ubiquitination",,,UniProt,Disease
SYN:the-pale-tremor-phenotype-which-is-a-multi-organ-disorder-with-neuronal-degenera,"the pale tremor phenotype which is a multi-organ disorder with neuronal degeneration in the central nervous system, peripheral neuronopathy and diluted pigmentation",,"Defects in Fig4 are the cause of the pale tremor phenotype which is a multi-organ disorder with neuronal degeneration in the central nervous system, peripheral neuronopathy and diluted pigmentation. At postnatal day three (P3), affected homozygotes have diluted pigmentation and reduced size. Intentional tremor develops during the second week after birth, and abnormal limb postures are evident by the third week. There is impaired motor coordination, muscle weakness and 'swimming' gait. There is progressive loss of mobility, reduction in body weight and juvenile lethality",,,UniProt,Disease
SYN:the-sandy-sdy-mutant-phenotype-a-model-for-human-hermansky-pudlak-syndrome-hps,"the sandy (sdy) mutant phenotype, a model for human Hermansky-Pudlak syndrome (HPS)",,"Defects in Dtnbp1 are the cause of the sandy (sdy) mutant phenotype, a model for human Hermansky-Pudlak syndrome (HPS). Sdy mice lack dysbindin expression; they have a characteristic sandy coat color and have much fewer melanosomes in the retinal pigment epithelium and choroid. They are fully viable, but present behavioral abnormalities. They have prolonged bleeding times due to platelet storage pool deficiency, and lysosomal storage defects. The number of electron-opaque platelet dense granules is severely reduced, and the platelet serotonin content is strongly reduced. Secretion of lysosomal enzymes from kidney and from thrombin-stimulated platelets is depressed 2- and 3-fold, and ceroid pigment is present in kidney. Sandy mice also display impaired long-term memory retention and working memory and schizophrenia-like behavioral abnormalities. Vesicle morphology and kinetics of transmitter release are affected in both neuroendocrine cells and hippocampal synapses, characterized by larger vesicle size, slower quantal release, fewer release events and reduced readily releasable pool (RRP). Expression levels of SYN1 are lower in both the cortex and the hippocampal formation (HF)",,,UniProt,Disease
SYN:propionic-acidemia-due-to-recessively-inherited-deficiency-of-pccase-activity-of,Propionic acidemia due to recessively inherited deficiency of PCCase activity often causes life-threatening ketosis and acidosis,,Propionic acidemia due to recessively inherited deficiency of PCCase activity often causes life-threatening ketosis and acidosis,,,UniProt,Disease
SYN:the-loop-tail-lp-mutant-phenotype,the loop-tail (Lp) mutant phenotype,,"Defects in Vangl2 are a cause of the loop-tail (Lp) mutant phenotype. Heterozygous Lp mice exhibit a characteristic looped tail, while homozygous embryos show a completely open neural tube in the hindbrain and spinal region, a condition similar to the severe craniorachischisis defect in humans. Homozygotes also have complex cardiovascular defects including double-outlet right ventricle, perimembranous ventricular defects, double-sided aortic arch and associated abnormalities in the aortic arch arteries. Homozygotes show cytoplasmic accumulation of Vangl2 instead of the normal membrane localization, and Rhoa expression, which is detected in the mesenchymal cushion cells adjacent to the outflow tract, is lost in homozygotes. Homozygous embryos typically die shortly before or at birth",,,UniProt,Disease
SYN:the-fatty-liver-dystrophy-phenotype-fld,the fatty liver dystrophy phenotype (fld),,"Defects in Lpin1 are the cause of the fatty liver dystrophy phenotype (fld). Fld mutant mice are characterized by neonatal fatty liver and hypertriglyceridemia that resolve at weaning, and neuropathy affecting peripheral nerve in adulthood. Adipose tissue deficiency, glucose intolerance and increased susceptibility to atherosclerosis are associated with this mutation too. Two independent mutant alleles are characterized in this phenotype, fld and fld2j",,,UniProt,Disease
SYN:light-damage-susceptibility-lds-of-the-retina,light damage susceptibility (LDS) of the retina,,Defects in Rpe65 are the cause of light damage susceptibility (LDS) of the retina,,,UniProt,Disease
SYN:the-juvenile-cystic-kidney-disease-jck-phenotype-which-resembles-human-autosomal,"the juvenile cystic kidney disease (jck) phenotype, which resembles human autosomal recessive polycystic kidney disease",,"A spontaneous mutation in Nek8 is responsible for the juvenile cystic kidney disease (jck) phenotype, which resembles human autosomal recessive polycystic kidney disease. Affected mice have grossly enlarged, spongy-appearing kidney. Focal cysts are evident as early as three days of life. The disease is progressive, the mice are fertile and generally survive to four or more months of age",,,UniProt,Disease
SYN:impaired-testicular-descent-known-as-cryptorchidism,impaired testicular descent (known as cryptorchidism),,Defects in Rxfp2 seems to be a cause of impaired testicular descent (known as cryptorchidism),,,UniProt,Disease
SYN:constitutive-activation-and-subsequent-transactivation-of-target-genes-may-lead-,Constitutive activation and subsequent transactivation of target genes may lead to the maintenance of stem-cell characteristics (cycling and longevity) in cells that should normally undergo terminal d,,Constitutive activation and subsequent transactivation of target genes may lead to the maintenance of stem-cell characteristics (cycling and longevity) in cells that should normally undergo terminal differentiation and constitute the primary transforming event in colorectal cancer (CRC),,,UniProt,Disease
SYN:locomotor-abnormalities-beginning-at-2-weeks-of-age,locomotor abnormalities beginning at 2 weeks of age,,"Defects in Slc12a6 are a cause of locomotor abnormalities beginning at 2 weeks of age. Slc12a6 deficient mice show hypomyelination, decompaction of myelin, demyelination, axonal swelling and fiber degeneration",,,UniProt,Disease
SYN:the-scurfy-phenotype-sf,the scurfy phenotype (sf),,"Defects in Foxp3 are the cause of the scurfy phenotype (sf). It results in a lethal disorder of immunoregulation, characterized by infections, diarrhea, anemia, thrombocytopenia, hypogonadism, gastrointestinal bleeding, lymphadenopathy and leukocytosis",,,UniProt,Disease
SYN:the-light-ear-le-mutant-which-exhibits-hypopigmentation-associated-with-defects-,"the light ear (le) mutant which exhibits hypopigmentation associated with defects of multiple cytoplasmic organelles, including melanosomes, lysosomes, and granular elements of platelets (PubMed:11836",,"Defects in Hps4 are the cause of the light ear (le) mutant which exhibits hypopigmentation associated with defects of multiple cytoplasmic organelles, including melanosomes, lysosomes, and granular elements of platelets (PubMed:11836498)",,,UniProt,Disease
SYN:nm2453-nm-nm-mice-carrying-a-spontaneous-hypomorphic-clcc1-allele-develop-progre,NM2453 (NM/NM) mice carrying a spontaneous hypomorphic CLCC1 allele develop progressive cerebellar granule neuron degeneration with muscle atrophy and peripheral neuropathy reminiscent of amyotrophic ,,NM2453 (NM/NM) mice carrying a spontaneous hypomorphic CLCC1 allele develop progressive cerebellar granule neuron degeneration with muscle atrophy and peripheral neuropathy reminiscent of amyotrophic lateral sclerosis,,,UniProt,Disease
SYN:a-spontaneous-mutation-gives-raise-to-thrombocytopenia-and-cardiomyopathy-trac-w,"A spontaneous mutation gives raise to thrombocytopenia and cardiomyopathy (trac), with recessive inheritance and fully penetrant phenotype",,"A spontaneous mutation gives raise to thrombocytopenia and cardiomyopathy (trac), with recessive inheritance and fully penetrant phenotype. Mice are small, infertile, and have shortened lifespan",,,UniProt,Disease
SYN:waltzer-v-phenotype,waltzer (v) phenotype,,Defects in Cdh23 are the cause of waltzer (v) phenotype. Waltzer mice are characterized by deafness and vestibular dysfunction due to degeneration of the neuroepithelium within the inner ear,,,UniProt,Disease
SYN:the-ames-waltzer-av-phenotype,the Ames waltzer (av) phenotype,,"Defects in Pcdh15 are the cause of the Ames waltzer (av) phenotype. It is characterized by deafness and a balance disorder, associated with the degeneration of inner ear neuroepithelia",,,UniProt,Disease
SYN:the-schlei-phenotype,the schlei phenotype,,"Defect in TMEM107 is the cause of the schlei phenotype. Schlei mice display Shh-related defects including, preaxial polydactyly, exencephaly, and disrupted ventral neural tube patterning. Mice shown decreased numbers of cilia in several developing tissues and organs. However, nodal cilia appear normal in schlei mutants and subsequently, no left-right defects are observed",,,UniProt,Disease
SYN:the-gcd-germ-cell-deficient-mutant-phenotype-which-leads-to-reduced-numbers-of-p,"the gcd (germ cell deficient) mutant phenotype, which leads to reduced numbers of precursor germ cells and adult sterility, probably due to a reduced precursor germ cells proliferation",,"Defects in Fancl are a cause of the gcd (germ cell deficient) mutant phenotype, which leads to reduced numbers of precursor germ cells and adult sterility, probably due to a reduced precursor germ cells proliferation",,,UniProt,Disease
SYN:osteochondrodysplasia-characterized-by-severe-osteoporosis-and-decreased-osteoid,osteochondrodysplasia characterized by severe osteoporosis and decreased osteoid production,,Defects in Crtap are a cause of osteochondrodysplasia characterized by severe osteoporosis and decreased osteoid production,,,UniProt,Disease
SYN:mice-nmf249-heterozygous-for-the-p278yk-variant-are-used-a-model-for-human-charc,"Mice (Nmf249) heterozygous for the P278YK variant are used a model for human Charcot-Marie-Tooth 2D (CMT2D), which is caused by dominant GARS mutations",,"Mice (Nmf249) heterozygous for the P278YK variant are used a model for human Charcot-Marie-Tooth 2D (CMT2D), which is caused by dominant GARS mutations. They exhibit reduced amplitudes of muscle compound action potentials and a large reduction in sciatic nerve conduction velocity in the absence of demyelination or remyelination, resulting from an age-related decrease in the number of large myelinated motor and sensory axons. The loss of myelinated axons is length-dependent, and there is a length- and time-dependent decrease in motor innervation of distal versus proximal muscles. Most of the axonal loss occurs by 1 month of age and mice that survive this period can be long-lived. At the molecular level, the P278YK mutation creates a neomorphic binding activity leading to the interaction of the variant with NRP1. This interaction competes out VEGFA binding and inhibits VEGFA-NRP1 signling which is essential for motor neuron survival. VEGFA, but not GDNF treatment significantly ameliorates the loss of motor function in mutant mice",,,UniProt,Disease
SYN:the-depilated-dep-phenotype,the depilated (dep) phenotype,,"Defects in zdhhc21 are the cause of the depilated (dep) phenotype. It is a recessive phenotype characterized by variable hair loss, with thinner and shorter hairs remaining in a greasy coat which is due to a defect in the epidermis, rather than the dermis (PubMed:19956733). Depilated (dep) mutant mice are protected against endothelial dysfunction in systemic inflammatory response syndrome (PubMed:27653213). They are also tachycardic and hypotensive (PubMed:26715683)",,,UniProt,Disease
SYN:the-buff-mutant-which-exhibits-hypopigmentation-in-the-coat-and-eyes-due-to-redu,"the buff mutant which exhibits hypopigmentation in the coat and eyes, due to reduced size and number of melanosomes in their cells",,"Defects in Vps33a are the cause of the buff mutant which exhibits hypopigmentation in the coat and eyes, due to reduced size and number of melanosomes in their cells. In addition, mice are prone to prolonged bleeding, due to a platelet-storage pool defect",,,UniProt,Disease
SYN:the-spontaneous-matted-matt-mutant-phenotype-a-model-for-human-atopic-dermatitis,"the spontaneous matted (matt) mutant phenotype, a model for human atopic dermatitis",,"Defects in Tmem79 are the cause of the spontaneous matted (matt) mutant phenotype, a model for human atopic dermatitis. Atopic dermatitis (ma/ma) mice have a matted hair phenotype with progressive dermatitis-like skin inflammation and a scratching behavior. Mice display an altered skin barrier that facilitates allergic sensitization",,,UniProt,Disease
SYN:severe-b-cell-deficiency,severe B-cell deficiency,,"Defects in Tnfrsf13c are a cause of severe B-cell deficiency. B-cell deficient strain A/WySnJ has a 4.7 kb insertion in the BAFFR gene leading to an altered C-terminus. The mutant RNA is not detectable. B-cell lymphopoiesis is normal, but the life span of peripheral B-cells is much reduced",,,UniProt,Disease
SYN:spontaneous-autosomal-recessive-blind-sterile-bs-phenotype,spontaneous autosomal recessive blind sterile (bs) phenotype,,Defects in Tbc1d20 are the cause of spontaneous autosomal recessive blind sterile (bs) phenotype. Bs animals exhibit embryonic non-progressive nuclear cataracts and spermatid abnormalities associated with male infertility,,,UniProt,Disease
SYN:elevated-expression-levels-in-the-adrenals-of-diabetic-mice,Elevated expression levels in the adrenals of diabetic mice,,Elevated expression levels in the adrenals of diabetic mice,,,UniProt,Disease
SYN:the-muscle-deficient-phenotype-mdf,the muscle deficient phenotype (mdf),,"Defects in Scyl1 are the cause of the muscle deficient phenotype (mdf). Mice exhibit progressive neuromuscular atrophy, hindlimb paralysis, gait ataxia, abnormal hindlimb posture and tremor. Pathology of mdf comprises cerebellar atrophy, Purkinje cell loss and optic nerve atrophy",,,UniProt,Disease
SYN:a-side-to-side-head-shaking-and-circling-behavior-due-to-reduced-or-absent-semic,"a side-to-side head-shaking and circling behavior, due to reduced or absent semicircular canals",,"Defects in Fign are characterized by a side-to-side head-shaking and circling behavior, due to reduced or absent semicircular canals. Diseased mice also have small eyes, associated with cell-cycle delay and insufficient growth of the retinal neural epithelium, and lower penetrance skeletal abnormalities, including pelvic girdle dysgenesis, skull bone fusions and polydactyly",,,UniProt,Disease
SYN:a-slowly-progressive-muscular-dystrophy-observed-in-sjl-mice,a slowly progressive muscular dystrophy observed in SJL mice,,Defects in Dysf are the cause of a slowly progressive muscular dystrophy observed in SJL mice. It affects primarily the proximal muscles and it is inherited as autosomal recessive trait,,,UniProt,Disease
SYN:the-gunmetal-gm-phenotype,the gunmetal (gm) phenotype,,"Defects in Rabggta are the cause of the gunmetal (gm) phenotype. Mice homozygous for gm have prolonged bleeding, thrombocytopenia and reduced platelet alpha- and delta-granule contents",,,UniProt,Disease
SYN:the-legs-at-odd-angles-loa-phenotype-an-autosomal-dominant-trait-where-affected-,"the 'Legs at odd angles' (LOA) phenotype, an autosomal dominant trait where affected animals display unusual twisting of the body and clenching of the hindlimbs when suspended by the tail",,"Defects in Dync1h1 are the cause of the 'Legs at odd angles' (LOA) phenotype, an autosomal dominant trait where affected animals display unusual twisting of the body and clenching of the hindlimbs when suspended by the tail. Heterozygotes suffer age-related progressive loss of muscle tone and locomotor ability without major reduction in life-span while homozygotes show a more severe phenotype with an inability to move or feed, and die within 24 hours of birth. LOA mutants display defects in migration of facial motor neuron cell bodies and impaired retrograde transport in spinal cord motor neurons",,,UniProt,Disease
SYN:the-cramping-1-cra1-phenotype-an-autosomal-dominant-trait-where-affected-animals,"the Cramping 1 (Cra1) phenotype, an autosomal dominant trait where affected animals display unusual twisting of the body and clenching of the hindlimbs when suspended by the tail",,"Defects in Dync1h1 are the cause of the Cramping 1 (Cra1) phenotype, an autosomal dominant trait where affected animals display unusual twisting of the body and clenching of the hindlimbs when suspended by the tail. Heterozygotes suffer age-related progressive loss of muscle tone and locomotor ability without major reduction in life-span while homozygotes show a more severe phenotype with an inability to move or feed, and die within 24 hours of birth",,,UniProt,Disease
SYN:a-generalized-progressive-form-of-arthritis,"a generalized, progressive form of arthritis",,"Defects in Ankh are the cause of a generalized, progressive form of arthritis. In ank mice hydroxyapatite crystals develop in articular surfaces and synovial fluid leading to joint space narrowing, cartilage erosion, and formation of bony outgrowths or osteophytes that cause fusion and joint immobility and destruction",,,UniProt,Disease
SYN:participates-in-a-chromosomal-translocation-that-produces-mmtra1a-which-is-leuke,Participates in a chromosomal translocation that produces MMTRA1A which is leukemogenic to syngenic SL mice and athymic nude mice,,Participates in a chromosomal translocation that produces MMTRA1A which is leukemogenic to syngenic SL mice and athymic nude mice,,,UniProt,Disease
SYN:the-spontaneous-neurologic-mutant-mouse-called-dreher-dr-and-results-from-a-fail,"the spontaneous neurologic mutant mouse, called 'dreher' (dr) and results from a failure of the roof plate to develop",,"Defects in Lmx1a are the cause of the spontaneous neurologic mutant mouse, called 'dreher' (dr) and results from a failure of the roof plate to develop",,,UniProt,Disease
SYN:hydrocephalus-and-of-male-infertility,hydrocephalus and of male infertility,,Defects in Spag6 are a cause of hydrocephalus and of male infertility,,,UniProt,Disease
SYN:the-phenotype-motor-neuron-degeneration-mnd,the phenotype motor neuron degeneration (mnd),,Defects in Cln8 are the cause of the phenotype motor neuron degeneration (mnd). Mnd is a naturally occurring mutant It is characterized by progressive motor system degeneration. It has intracellular autofluorescent inclusions similar to those seen in human Cln8,,,UniProt,Disease
SYN:the-protein-is-encoded-by-the-lps-locus-an-important-susceptibility-locus-influe,"The protein is encoded by the Lps locus, an important susceptibility locus, influencing the propensity to develop a disseminated Gram-negative infection",,"The protein is encoded by the Lps locus, an important susceptibility locus, influencing the propensity to develop a disseminated Gram-negative infection",,,UniProt,Disease
SYN:the-dysgenetic-lens-dyl-phenotype,the dysgenetic lens (dyl) phenotype,,"Defects in Foxe3 are the cause of the dysgenetic lens (dyl) phenotype. In mouse mutant dyl the lens vesicle fails to separate from the ectoderm, causing a fusion between the lens and the cornea. Lack of a proliferating anterior lens epithelium leads to absence of secondary lens fibers and a dysplastic, cataractous lens",,,UniProt,Disease
SYN:quakingviable-qkv,quakingviable (qkv),,"Defects in Qki are the cause of quakingviable (qkv). Qkv is a spontaneous mutation resulting in hypomyelinization of the central and peripheral nervous systems. Mutant mice develop normally until postnatal day 10 when they display rapid tremors or 'quaking' that is especially pronounced in hindlimbs and experience convulsive tonic-clonic seizures as they mature (PubMed:8589716). Mice with qkv specifically lack isoform 3 and isoform 4 in myelin-forming cells, while isoform 1 is lacking in oligodendrocytes of severely affected tracts (PubMed:12888522). Mice with qkv also lack the PRKN gene product, suggesting that the absence of PRKN may also affect the phenotype (PubMed:15014970)",,,UniProt,Disease
SYN:mice-defective-in-atp11c-show-defective-b-lymphopoiesis-specifically-in-mature-b,"Mice defective in Atp11c show defective B lymphopoiesis, specifically in mature bone marrow, pronounced stomatocytosis associated with anemia, hyperbilirubinemia linked to mild cholestasis and hepatoc",,"Mice defective in Atp11c show defective B lymphopoiesis, specifically in mature bone marrow, pronounced stomatocytosis associated with anemia, hyperbilirubinemia linked to mild cholestasis and hepatocellular carcinoma",,,UniProt,Disease
SYN:shaker-2-sh-2-a-condition-causing-deafness-circling-behavior-head-tossing-and-hy,"shaker-2 (sh-2), a condition causing deafness, circling behavior, head tossing and hyperactivity",,"Defects in Myo15a are the cause of shaker-2 (sh-2), a condition causing deafness, circling behavior, head tossing and hyperactivity. Auditory hair cells of affected animals have very short stereocilia and a long actin-containing protrusion at their basal end",,,UniProt,Disease
SYN:the-pathogenetic-mechanisms-of-japanese-encephalitis-virus-jev-infection-of-the-,the pathogenetic mechanisms of Japanese encephalitis virus (JEV) infection of the brain,,Involved in the pathogenetic mechanisms of Japanese encephalitis virus (JEV) infection of the brain. JEV infection of young mice results in increased expression of CLEC5A in spleen and brain with consequent activation of proinflammatory cytokine secretion,,,UniProt,Disease
SYN:the-pallid-pa-phenotype-that-is-characterized-by-an-altered-formation-or-functio,"the pallid (pa) phenotype that is characterized by an altered formation or function of intracellular storage granules in melanocytes, platelets, and lysosomes in kidney",,"Defects in Pldn are the cause of the pallid (pa) phenotype that is characterized by an altered formation or function of intracellular storage granules in melanocytes, platelets, and lysosomes in kidney. Pallid mice have a prolonged bleeding time owing to the inability of immature platelet dense granules to accumulate normal amounts of ATP, ADP, and serotonin. Pa animals also suffer from pigment dilution, kidney lysosomal enzyme elevation and serum alpha1-antitrypsin activity deficiency. Finally, pallid mice exhibit defects in otolith formation that lead to balance abnormalities",,,UniProt,Disease
SYN:defects-in-atp2b2-are-associated-with-early-onset-profound-hearing-loss-and-seve,Defects in Atp2b2 are associated with early onset profound hearing loss and severe vestibular dysfunction,,Defects in Atp2b2 are associated with early onset profound hearing loss and severe vestibular dysfunction,,,UniProt,Disease
SYN:the-downless-phenotype-in-mice-the-equivalent-of-anhidrotic-ectodermal-dysplasia,the downless phenotype in mice (the equivalent of anhidrotic ectodermal dysplasia in humans),,"Defects in Edar are a cause of the downless phenotype in mice (the equivalent of anhidrotic ectodermal dysplasia in humans). The disease is characterized by sparse hair (atrichosis or hypotrichosis), abnormal or missing teeth and the inability to sweat due to the absence of sweat glands",,,UniProt,Disease
SYN:may-contribute-to-obesity-pubmed-15700135,May contribute to obesity (PubMed:15700135),,May contribute to obesity (PubMed:15700135),,,UniProt,Disease
SYN:male-lethal-mutations-bare-patches-bpa-and-striated-str-phenotypes,male-lethal mutations bare patches (Bpa) and striated (Str) phenotypes,,"Defects in Nsdhl are the cause of male-lethal mutations bare patches (Bpa) and striated (Str) phenotypes. Heterozygous Bpa females are dwarfed and demonstrate abnormal deposits of calcium in tail vertebrae. They also develop a hyperkeratotic skin eruption shortly after birth that resolves, leaving 'bare patches' arranged in a horizontal, striped pattern. The Str females are indistinguishable from normal littermates until postnatal day 12-14 when they develop striations in their coat",,,UniProt,Disease
SYN:motor-endplate-disease-med,motor endplate disease (med),,"Defects in Scn8a are the cause of motor endplate disease (med). Med is a recessive neuromuscular disorder that is characterized by lack of signal transmission at the neuromuscular junction, excess preterminal arborization and degeneration of cerebellar Purkinje cells. It produces early onset progressive paralysis of hind limbs, severe muscle atrophy and juvenile lethality",,,UniProt,Disease
